topology,nb_roots,nb_proc,size,full_time,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;16,32;1,11;1,1;1",11,512,50000,4748.99,4748.94,17.55,756.214,40.7968,737.66,18.53,0,237266,0.99,158937088,2038239232,10608000,93163520
"2;16,32;1,8;1,1;1",8,512,50000,5609.1,5609.06,14.86,1266.61,43.6543,1246.54,19.9,0,237681,0.99,159465472,2038771712,10604000,94175232
"2;16,32;1,9;1,1;1",9,512,50000,5050.75,5050.7,16.5,1240.93,42.9961,1219.45,21.2,0,237776,0.99,159395840,2038784000,10620000,93970432
"2;16,32;1,6;1,1;1",6,512,50000,6043.29,6043.24,13.79,1581.36,44.132,1560.35,20.71,0,237660,0.99,159309824,2038697984,10616000,98787328
"2;16,32;1,3;1,1;1",3,512,50000,8968.98,8968.93,9.292,1602.5,50.9299,1578.7,23.43,0,237968,0.99,159928320,2039246848,10620000,95936512
"2;16,32;1,15;1,1;1",15,512,50000,4199.7,4199.65,19.84,294.561,38.4077,278.1,16.53,0,193910,0.99,158834688,2038157312,10612000,92184576
"2;16,32;1,4;1,1;1",4,512,50000,7326.98,7326.93,11.37,1677.1,46.9365,1655.17,21.46,0,237628,0.99,158322688,2037661696,10608000,90271744
"2;16,32;1,2;1,1;1",2,512,50000,11654.1,11654.08,7.151,1448.77,54.0497,1423.82,24.62,0,237635,0.99,158834688,2038198272,10608000,93540352
"2;16,32;1,12;1,1;1",12,512,50000,4638.39,4638.34,17.97,589.978,39.8664,572.68,17.2,0,232810,0.99,160272384,2039681024,10616000,92266496
"2;16,32;1,13;1,1;1",13,512,50000,4563.43,4563.38,18.26,432.173,39.9805,414.79,17.4,0,228108,0.99,160772096,2040061952,10624000,92131328
"2;16,32;1,10;1,1;1",10,512,50000,5074.05,5074.0,16.42,943.958,41.9134,925.14,18.6,0,235411,0.99,160284672,2039648256,10616000,96522240
"2;16,32;1,14;1,1;1",14,512,50000,4331.48,4331.43,19.24,349.518,38.5308,333.3,16.29,0,216723,0.99,159481856,2038779904,10612000,92880896
"2;16,32;1,8;1,1;1",8,512,50000,5255.89,5255.84,15.86,1434.28,42.3699,1414.85,19.18,0,237585,0.99,158625792,2037993472,10616000,92758016
"2;16,32;1,16;1,1;1",16,512,50000,4280.56,4280.51,19.47,272.973,37.8499,256.62,16.4,0,179686,0.99,159051776,2038304768,10608000,94502912
"2;16,32;1,5;1,1;1",5,512,50000,6678.24,6678.19,12.48,1645.71,46.2141,1624.58,20.92,0,238691,0.99,160043008,2039357440,10612000,92962816
