topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,uss,rss
"2;8,8;1,8;1,1",8,24,5000,12.96,6.434,1.94082,0.415142,59494400,263299072
"2;8,8;1,8;1,1",8,56,40000,603.08,70.75,111.182,29.179,814452736,13623787520
"2;8,8;1,8;1,1",8,48,35000,413.93,69.06,47.9508,11.2781,613679104,10421637120
"2;8,8;1,8;1,1",8,24,25000,318.66,32.69,21.4975,6.58099,287453184,5292912640
"2;8,8;1,8;1,1",8,8,5000,9.52,8.758,0.622959,0.226126,32620544,236347392
"2;8,8;1,8;1,1",8,24,30000,513.46,35.06,29.32,9.25015,332140544,7537971200
"2;8,8;1,8;1,1",8,32,30000,380.56,47.3,28.2943,7.88532,401113088,7607443456
"2;8,8;1,8;1,1",8,48,20000,100.79,52.92,18.4785,4.18182,356077568,3562090496
"2;8,8;1,8;1,1",8,1,5000,45.23,1.843,0.106787,0.0928548,5656576,209076224
"2;8,8;1,8;1,1",8,56,30000,301.15,59.77,66.7895,16.8619,613691392,7821537280
"2;8,8;1,8;1,1",8,64,100,0.18,0.00372,0.0883589,0.0211084,14364672,18137088
"2;8,8;1,8;1,1",8,8,25000,757.44,13.75,8.59215,3.81178,186130432,5190701056
"2;8,8;1,8;1,1",8,32,25000,233.75,44.57,20.6538,5.41012,335880192,5341696000
"2;8,8;1,8;1,1",8,64,15000,54.19,41.53,17.386,3.91111,264757248,2070249472
"2;8,8;1,8;1,1",8,8,20000,398.03,13.4,5.98835,2.7345,142581760,3346964480
"2;8,8;1,8;1,1",8,40,25000,237.57,43.85,35.0137,9.27349,399306752,5405507584
"2;8,8;1,8;1,1",8,24,100,0.18,0.003861,0.049394,0.00982117,0,0
"2;8,8;1,8;1,1",8,40,10000,39.71,16.79,9.53096,2.08161,165048320,969568256
"2;8,8;1,8;1,1",8,8,40000,2997.48,14.24,21.8029,10.8408,283860992,13089120256
"2;8,8;1,8;1,1",8,40,100,0.23,0.003019,0.0727853,0.0159777,0,0
"2;8,8;1,8;1,1",8,40,30000,367.96,48.92,46.704,13.1381,472051712,7678930944
"2;8,8;1,8;1,1",8,56,15000,73.24,30.73,21.8113,4.86869,317755392,2123403264
"2;8,8;1,8;1,1",8,24,20000,181.81,29.34,14.4176,4.34057,231124992,3436175360
"2;8,8;1,8;1,1",8,32,40000,839.32,50.84,48.5278,13.9397,530014208,13337399296
"2;8,8;1,8;1,1",8,16,100,0.08,0.008091,0.0258933,0.00634117,0,0
"2;8,8;1,8;1,1",8,32,20000,133.06,40.09,14.2633,3.94552,266051584,3471454208
"2;8,8;1,8;1,1",8,1,30000,9609.76,1.873,3.66224,3.56574,5672960,7209570304
"2;8,8;1,8;1,1",8,32,100,0.12,0.005577,0.0492291,0.0110105,0,0
"2;8,8;1,8;1,1",8,24,10000,39.99,16.67,4.87665,1.25009,121618432,925798400
"2;8,8;1,8;1,1",8,56,10000,37.9,17.59,13.281,2.57031,213975040,1018966016
"2;8,8;1,8;1,1",8,56,25000,200.59,51.93,48.9167,12.19,505884672,5512957952
"2;8,8;1,8;1,1",8,24,40000,1124.14,37.96,47.6469,16.2658,451674112,13258297344
"2;8,8;1,8;1,1",8,1,100,0.0,0.4386,0.00288933,0.000944328,0,0
"2;8,8;1,8;1,1",8,16,30000,691.6,26.03,20.7683,7.59945,277188608,7482462208
"2;8,8;1,8;1,1",8,64,35000,347.7,82.21,68.9582,16.8103,595599360,10403540992
"2;8,8;1,8;1,1",8,32,40000,838.1,50.91,47.2996,13.3756,534769664,13342150656
"2;8,8;1,8;1,1",8,32,15000,66.96,33.6,9.4663,2.65674,199745536,2004660224
"2;8,8;1,8;1,1",8,32,30000,380.47,47.31,28.3564,7.79325,399503360,7605870592
"2;8,8;1,8;1,1",8,40,15000,80.27,28.04,16.025,3.76321,245059584,2050125824
"2;8,8;1,8;1,1",8,8,100,0.04,0.01822,0.0153119,0.00436993,0,0
"2;8,8;1,8;1,1",8,32,25000,233.67,44.58,20.3913,5.36017,329883648,5335728128
"2;8,8;1,8;1,1",8,64,10000,27.32,24.41,9.49723,2.05644,178892800,983666688
"2;8,8;1,8;1,1",8,56,20000,125.23,42.59,33.5166,7.78832,409169920,3615522816
"2;8,8;1,8;1,1",8,1,20000,2851.85,1.87,1.55847,1.50004,5640192,3209306112
"2;8,8;1,8;1,1",8,1,25000,5565.02,1.872,2.55533,2.47932,5566464,5009367040
"2;8,8;1,8;1,1",8,16,30000,691.79,26.02,20.8183,7.66894,269484032,7474839552
"2;8,8;1,8;1,1",8,56,5000,14.93,5.583,5.52504,0.939655,112189440,316338176
"2;8,8;1,8;1,1",8,16,5000,9.39,8.882,1.26884,0.333846,50085888,253808640
"2;8,8;1,8;1,1",8,8,30000,1290.13,13.95,12.104,5.53933,210157568,7414980608
"2;8,8;1,8;1,1",8,48,25000,172.8,60.29,26.5596,5.94546,443154432,5449801728
"2;8,8;1,8;1,1",8,40,20000,144.85,36.82,24.2524,6.3927,317313024,3523014656
"2;8,8;1,8;1,1",8,1,30000,9609.71,1.873,3.67366,3.57208,5689344,7209639936
"2;8,8;1,8;1,1",8,8,20000,398.31,13.39,6.19889,2.82652,146534400,3350933504
"2;8,8;1,8;1,1",8,64,35000,348.28,82.07,69.3601,17.1044,590454784,10398371840
"2;8,8;1,8;1,1",8,56,25000,200.52,51.95,47.8057,12.1132,505511936,5512626176
"2;8,8;1,8;1,1",8,1,40000,22757.19,1.875,6.23652,6.1056,5677056,12809736192
"2;8,8;1,8;1,1",8,40,25000,237.1,43.94,34.4263,9.24184,405184512,5411422208
"2;8,8;1,8;1,1",8,32,5000,8.44,9.874,1.73983,0.402167,72556544,276414464
"2;8,8;1,8;1,1",8,8,5000,9.52,8.756,0.598114,0.217208,39710720,243298304
"2;8,8;1,8;1,1",8,32,35000,579.28,49.35,37.851,10.7295,465117184,10271977472
"2;8,8;1,8;1,1",8,24,15000,92.17,24.41,8.80826,2.4148,172859392,1977491456
"2;8,8;1,8;1,1",8,40,35000,539.55,52.98,61.8016,17.4903,588595200,10395971584
"2;8,8;1,8;1,1",8,16,40000,1570.67,27.17,35.0742,13.3927,353320960,13159260160
"2;8,8;1,8;1,1",8,48,10000,23.62,28.23,6.34612,1.36096,197689344,1002373120
"2;8,8;1,8;1,1",8,64,100,0.18,0.003772,0.0950879,0.0215965,9314304,13037568
"2;8,8;1,8;1,1",8,48,5000,7.97,10.46,2.26868,0.490343,101797888,305922048
"2;8,8;1,8;1,1",8,8,25000,757.49,13.75,8.68979,3.87045,179302400,5183877120
