shared,size,mem_access,system_time,user_time,nb_page_faults
True,5850822358,True,1.41,0.46,1523597
True,9885552834,True,3.07,0.68,2574548
True,9885552834,False,0.42,0.0,160585
False,9885552834,True,3.7,0.49,2413523
False,9885552834,False,0.0,0.0,58
True,7896189703,True,2.9,0.59,2056115
False,7896189703,False,0.0,0.0,57
True,7896189703,False,0.34,0.0,128335
False,7896189703,True,2.9,0.44,1927838
True,1795573558,True,0.36,0.11,467802
True,1795573558,False,0.08,0.0,29429
False,1795573558,False,0.0,0.0,58
False,1795573558,True,0.63,0.12,438432
True,7909373037,True,2.32,0.5,2060034
False,7909373037,False,0.0,0.0,59
True,7909373037,False,0.34,0.0,128548
False,7909373037,True,2.92,0.45,1931057
True,2109471169,False,0.09,0.0,34517
True,2109471169,True,0.37,0.18,549527
False,2109471169,True,0.74,0.15,515065
False,2109471169,False,0.0,0.0,59
True,1829599501,False,0.08,0.0,29980
True,1829599501,True,0.36,0.12,476659
False,1829599501,True,0.7,0.07,446735
False,1829599501,False,0.0,0.0,57
False,9543525540,True,3.52,0.54,2330020
False,9543525540,False,0.0,0.0,60
True,9543525540,False,0.41,0.0,155040
True,9543525540,True,2.99,0.62,2485008
True,2348013582,True,0.45,0.17,612126
True,2348013582,False,0.1,0.0,38387
False,2348013582,True,0.84,0.15,573303
False,2348013582,False,0.0,0.0,58
False,3591377242,True,1.33,0.18,876861
False,3591377242,False,0.0,0.0,58
True,3591377242,True,0.7,0.26,935347
True,3591377242,False,0.15,0.0,58542
False,4750573683,False,0.0,0.0,59
False,4750573683,True,1.78,0.22,1159866
True,4750573683,False,0.2,0.0,77335
True,4750573683,True,1.02,0.32,1237147
True,2983251587,True,0.54,0.24,777015
False,2983251587,True,1.1,0.16,728391
False,2983251587,False,0.0,0.0,56
True,2983251587,False,0.13,0.0,48681
False,6551138287,True,2.47,0.31,1599456
True,6551138287,True,1.7,0.49,1705926
True,6551138287,False,0.28,0.0,106529
False,6551138287,False,0.0,0.0,59
False,1046077521,True,0.37,0.06,255446
False,1046077521,False,0.0,0.0,57
True,1046077521,False,0.04,0.0,17279
True,1046077521,True,0.2,0.06,272667
False,5027207734,False,0.0,0.0,58
True,5027207734,False,0.22,0.0,81822
True,5027207734,True,1.12,0.36,1309165
False,5027207734,True,1.85,0.29,1227403
True,51566967,False,0.0,0.0,1153
False,51566967,False,0.0,0.0,56
True,51566967,True,0.0,0.0,13743
False,51566967,True,0.01,0.0,12649
True,4216280968,True,0.8,0.31,1098043
False,4216280968,False,0.0,0.0,59
True,4216280968,False,0.18,0.0,68673
False,4216280968,True,1.5,0.29,1029422
True,2465939950,True,0.42,0.23,642333
True,2465939950,False,0.1,0.0,40297
False,2465939950,False,0.0,0.0,59
False,2465939950,True,0.87,0.16,602093
True,813927434,False,0.03,0.0,13512
False,813927434,True,0.28,0.05,198771
False,813927434,False,0.0,0.0,58
True,813927434,True,0.14,0.07,212226
False,4217070876,True,1.53,0.26,1029617
False,4217070876,False,0.0,0.0,58
True,4217070876,False,0.18,0.0,68685
True,4217070876,True,0.87,0.24,1094223
True,3385000133,False,0.14,0.0,55196
False,3385000133,False,0.0,0.0,59
False,3385000133,True,1.21,0.22,826473
True,3385000133,True,0.65,0.24,881613
True,9540259975,False,0.4,0.0,154988
False,9540259975,False,0.0,0.0,58
False,9540259975,True,3.57,0.48,2329222
True,9540259975,True,2.95,0.64,2484158
True,6298285513,True,2.38,0.47,1640097
False,6298285513,False,0.0,0.0,59
True,6298285513,False,0.27,0.0,102428
False,6298285513,True,2.3,0.38,1537723
False,9977306686,True,3.69,0.53,2435921
False,9977306686,False,0.0,0.0,62
True,9977306686,True,3.47,0.61,2597943
True,9977306686,False,0.43,0.0,162073
